date,price (dollars)
21/09/2024,32.10
22/09/2024,32.25
23/09/2024,31.07
24/09/2024,31.50
25/09/2024,32.21
26/09/2024,33.38
27/09/2024,34.08
28/09/2024,34.43
29/09/2024,35.83
30/09/2024,36.33
01/10/2024,37.57
02/10/2024,39.71
03/10/2024,39.59
04/10/2024,39.55
05/10/2024,42.01
06/10/2024,43.40
07/10/2024,43.09
08/10/2024,42.61
09/10/2024,42.41
10/10/2024,43.25
11/10/2024,43.17
12/10/2024,41.15
13/10/2024,39.79
14/10/2024,38.33
15/10/2024,37.51
16/10/2024,37.56
17/10/2024,35.42
18/10/2024,33.48
19/10/2024,33.24
20/10/2024,33.51
21/10/2024,33.69
22/10/2024,35.54
23/10/2024,37.06
24/10/2024,36.71
25/10/2024,36.93
26/10/2024,37.00
27/10/2024,37.02
28/10/2024,37.86
29/10/2024,39.89
30/10/2024,39.76
31/10/2024,38.00
01/11/2024,37.54
02/11/2024,38.33
03/11/2024,38.80
04/11/2024,36.60
05/11/2024,35.16
06/11/2024,35.58
07/11/2024,35.70
08/11/2024,34.74
09/11/2024,35.68
10/11/2024,37.28
11/11/2024,36.85
12/11/2024,36.00
13/11/2024,34.66
14/11/2024,32.75
15/11/2024,31.28
16/11/2024,29.98
17/11/2024,31.08
18/11/2024,31.16
19/11/2024,28.24
20/11/2024,27.09
21/11/2024,27.75
22/11/2024,27.83
23/11/2024,28.04
24/11/2024,27.96
25/11/2024,27.35
26/11/2024,29.38
27/11/2024,30.27
28/11/2024,29.81
29/11/2024,30.81
30/11/2024,29.15
01/12/2024,26.53
02/12/2024,27.41
03/12/2024,28.70
04/12/2024,27.38
05/12/2024,27.12
06/12/2024,27.77
07/12/2024,27.77
08/12/2024,28.57
09/12/2024,28.07
10/12/2024,27.99
11/12/2024,28.04
12/12/2024,25.92
13/12/2024,23.94
14/12/2024,23.01
15/12/2024,22.77
16/12/2024,22.01
17/12/2024,22.07
18/12/2024,23.23
19/12/2024,22.91
20/12/2024,23.30
21/12/2024,25.66
22/12/2024,26.85
23/12/2024,26.68
24/12/2024,25.16
25/12/2024,23.48
26/12/2024,23.01
27/12/2024,22.97
28/12/2024,22.96
29/12/2024,23.14
30/12/2024,25.12
31/12/2024,26.27
01/01/2025,25.44
02/01/2025,24.08
03/01/2025,23.24
04/01/2025,24.33
05/01/2025,23.49
06/01/2025,21.16
07/01/2025,20.91
08/01/2025,22.01
09/01/2025,23.08
10/01/2025,23.83
11/01/2025,24.24
12/01/2025,24.88
13/01/2025,26.65
14/01/2025,26.12
15/01/2025,25.43
16/01/2025,26.45
17/01/2025,26.01
18/01/2025,23.08
19/01/2025,19.68
20/01/2025,20.32
21/01/2025,21.15
22/01/2025,19.06
23/01/2025,17.75
24/01/2025,17.03
25/01/2025,16.48
26/01/2025,18.09
27/01/2025,19.03
28/01/2025,18.71
29/01/2025,18.09
30/01/2025,18.92
31/01/2025,20.73
01/02/2025,19.87
02/02/2025,19.95
03/02/2025,22.49
04/02/2025,23.93
05/02/2025,22.51
06/02/2025,23.19
07/02/2025,25.69
08/02/2025,27.16
09/02/2025,27.83
10/02/2025,27.38
11/02/2025,27.55
12/02/2025,29.06
13/02/2025,30.36
14/02/2025,29.36
15/02/2025,28.76
16/02/2025,31.07
17/02/2025,32.79
18/02/2025,32.96
19/02/2025,32.23
20/02/2025,30.11
21/02/2025,28.41
22/02/2025,27.59
23/02/2025,27.30
24/02/2025,27.49
25/02/2025,29.34
26/02/2025,31.09
27/02/2025,32.41
28/02/2025,33.78
01/03/2025,35.62
02/03/2025,35.47
